time,	w_est,	w_final_filt,	th_r_est,	v_qd_r.q,	v_qd_r.d,	i_qd_r_tot.q,	i_qd_r_tot.d,	i_qd_r_hf.q,	i_qd_r_hf.d,	i_qd_r.q,	i_qd_r.d
2.5e-05,	0,	0,	0,	0,	3.86385,	0,	0,	0,	0,	0,	0
5e-05,	0,	0,	0,	0,	3.86385,	0,	0,	0,	0,	0,	0
7.5e-05,	47.1576,	0,	0.00117894,	0,	2.5488,	0.551923,	5.62944,	0.550805,	5.61804,	0.0011178,	0.0114012
0.0001,	47.1576,	0,	0.00117894,	0,	2.5488,	0.551923,	5.62944,	0.550805,	5.61804,	0.0011178,	0.0114012
0.000125,	111.032,	0.304386,	0.00513369,	0.000138315,	0.678316,	1.06554,	11.1127,	1.06125,	11.0684,	0.00429302,	0.0442827
0.00015,	111.032,	0.304386,	0.00513369,	0.000138315,	0.678316,	1.06554,	11.1127,	1.06125,	11.0684,	0.00429302,	0.0442827
0.000175,	118.723,	0.863406,	0.0108776,	0.00037777,	-1.33986,	1.18558,	13.1131,	1.176,	13.0123,	0.00958133,	0.100739
0.0002,	118.723,	0.863406,	0.0108776,	0.00037777,	-1.33986,	1.18558,	13.1131,	1.176,	13.0123,	0.00958133,	0.100739
0.000225,	67.3579,	1.25807,	0.0155296,	0.000409244,	-3.06583,	0.907779,	11.2135,	0.891556,	11.0388,	0.0162235,	0.174735
0.00025,	67.3579,	1.25807,	0.0155296,	0.000409244,	-3.06583,	0.907779,	11.2135,	0.891556,	11.0388,	0.0162235,	0.174735
0.000275,	11.0783,	1.2944,	0.0174905,	0.000184005,	-4.12341,	0.337072,	5.83971,	0.314141,	5.58602,	0.0229311,	0.253694
0.0003,	11.0783,	1.2944,	0.0174905,	0.000184005,	-4.12341,	0.337072,	5.83971,	0.314141,	5.58602,	0.0229311,	0.253694
0.000325,	8.12437,	1.13803,	0.0179706,	-8.18944e-05,	-4.28214,	-0.412478,	-1.81863,	-0.440644,	-2.14013,	0.0281667,	0.321509
0.00035,	8.12437,	1.13803,	0.0179706,	-8.18944e-05,	-4.28214,	-0.412478,	-1.81863,	-0.440644,	-2.14013,	0.0281667,	0.321509
0.000375,	77.7658,	1.15009,	0.0201178,	-0.000310967,	-3.50746,	-1.20634,	-10.066,	-1.23678,	-10.4283,	0.0304414,	0.36232
0.0004,	77.7658,	1.15009,	0.0201178,	-0.000310967,	-3.50746,	-1.20634,	-10.066,	-1.23678,	-10.4283,	0.0304414,	0.36232
0.000425,	176.591,	1.62144,	0.0264767,	-0.000664572,	-1.96824,	-1.83351,	-17.0847,	-1.86225,	-17.4489,	0.028741,	0.364205
0.00045,	176.591,	1.62144,	0.0264767,	-0.000664572,	-1.96824,	-1.83351,	-17.0847,	-1.86225,	-17.4489,	0.028741,	0.364205
0.000475,	223.151,	2.49779,	0.0364703,	-0.00114934,	-2.36768e-05,	-2.07185,	-21.3262,	-2.09478,	-21.6482,	0.0229359,	0.321995
0.0005,	223.151,	2.49779,	0.0364703,	-0.00114934,	-2.36768e-05,	-2.07185,	-21.3262,	-2.09478,	-21.6482,	0.0229359,	0.321995
0.000525,	178.143,	3.34354,	0.0465027,	-0.00137074,	1.96871,	-1.8545,	-21.8517,	-1.86834,	-22.0903,	0.0138392,	0.238591
0.00055,	178.143,	3.34354,	0.0465027,	-0.00137074,	1.96871,	-1.8545,	-21.8517,	-1.86834,	-22.0903,	0.0138392,	0.238591
0.000575,	83.4544,	3.74141,	0.0530426,	-0.00101181,	3.5081,	-1.30054,	-18.5046,	-1.30342,	-18.6292,	0.00288085,	0.124564
0.0006,	83.4544,	3.74141,	0.0530426,	-0.00101181,	3.5081,	-1.30054,	-18.5046,	-1.30342,	-18.6292,	0.00288085,	0.124564
0.000625,	11.7435,	3.67641,	0.0554225,	-0.000264598,	4.28267,	-0.562564,	-11.9718,	-0.554305,	-11.9678,	-0.00825856,	-0.00392931
0.00065,	11.7435,	3.67641,	0.0554225,	-0.000264598,	4.28267,	-0.562564,	-11.9718,	-0.554305,	-11.9678,	-0.00825856,	-0.00392931
0.000675,	11.777,	3.46339,	0.0560106,	0.000492366,	4.12367,	0.263119,	-3.67245,	0.280988,	-3.5439,	-0.0178683,	-0.128547
0.0007,	11.777,	3.46339,	0.0560106,	0.000492366,	4.12367,	0.263119,	-3.67245,	0.280988,	-3.5439,	-0.0178683,	-0.128547
0.000725,	84.0971,	3.48954,	0.0584074,	0.00113513,	3.06583,	1.06463,	4.59894,	1.08907,	4.83157,	-0.0244402,	-0.232627
0.00075,	84.0971,	3.48954,	0.0584074,	0.00113513,	3.06583,	1.06463,	4.59894,	1.08907,	4.83157,	-0.0244402,	-0.232627
0.000775,	171.724,	3.98229,	0.0648029,	0.00174228,	1.33978,	1.65156,	11.0577,	1.6786,	11.3624,	-0.0270395,	-0.304683
0.0008,	171.724,	3.98229,	0.0648029,	0.00174228,	1.33978,	1.65156,	11.0577,	1.6786,	11.3624,	-0.0270395,	-0.304683
0.000825,	198.602,	4.79879,	0.0740611,	0.00218033,	-0.678222,	1.84414,	14.3199,	1.86976,	14.6607,	-0.0256204,	-0.340781
0.00085,	198.602,	4.79879,	0.0740611,	0.00218033,	-0.678222,	1.84414,	14.3199,	1.86976,	14.6607,	-0.0256204,	-0.340781
0.000875,	143.634,	5.49505,	0.082617,	0.002045,	-2.54831,	1.61422,	13.6864,	1.63522,	14.0317,	-0.0210051,	-0.345293
0.0009,	143.634,	5.49505,	0.082617,	0.002045,	-2.54831,	1.61422,	13.6864,	1.63522,	14.0317,	-0.0210051,	-0.345293
0.000925,	56.2905,	5.74501,	0.0876151,	0.00119977,	-3.86288,	1.07427,	9.28733,	1.08885,	9.61723,	-0.0145775,	-0.3299
0.00095,	56.2905,	5.74501,	0.0876151,	0.00119977,	-3.86288,	1.07427,	9.28733,	1.08885,	9.61723,	-0.0145775,	-0.3299
0.000975,	4.11059,	5.61308,	0.0891251,	1.50245e-08,	-4.33675,	0.348853,	2.09817,	0.356833,	2.40911,	-0.00797945,	-0.310944
0.001,	4.11059,	5.61308,	0.0891251,	1.50245e-08,	-4.33675,	0.348853,	2.09817,	0.356833,	2.40911,	-0.00797945,	-0.310944
0.001025,	26.1798,	5.43498,	0.0898824,	-0.00113529,	-3.86385,	-0.462215,	-6.30025,	-0.459334,	-5.99446,	-0.00288183,	-0.305785
0.00105,	26.1798,	5.43498,	0.0898824,	-0.00113529,	-3.86385,	-0.462215,	-6.30025,	-0.459334,	-5.99446,	-0.00288183,	-0.305785
0.001075,	106.835,	5.57329,	0.0932077,	-0.00207449,	-2.5488,	-1.19989,	-14.0527,	-1.19923,	-13.7237,	-0.000656982,	-0.328922
0.0011,	106.835,	5.57329,	0.0932077,	-0.00207449,	-2.5488,	-1.19989,	-14.0527,	-1.19923,	-13.7237,	-0.000656982,	-0.328922
0.001125,	175.694,	6.15842,	0.100271,	-0.00279842,	-0.67832,	-1.64079,	-19.4558,	-1.63884,	-19.0671,	-0.00194961,	-0.388761
0.00115,	175.694,	6.15842,	0.100271,	-0.00279842,	-0.67832,	-1.64079,	-19.4558,	-1.63884,	-19.0671,	-0.00194961,	-0.388761
0.001175,	168.923,	6.91818,	0.108886,	-0.00302695,	1.33985,	-1.63718,	-21.3141,	-1.63074,	-20.8283,	-0.00644033,	-0.485714
0.0012,	168.923,	6.91818,	0.108886,	-0.00302695,	1.33985,	-1.63718,	-21.3141,	-1.63074,	-20.8283,	-0.00644033,	-0.485714
0.001225,	96.4939,	7.40304,	0.115522,	-0.00240817,	3.06582,	-1.23327,	-19.2053,	-1.22025,	-18.5933,	-0.0130206,	-0.61205
0.00125,	96.4939,	7.40304,	0.115522,	-0.00240817,	3.06582,	-1.23327,	-19.2053,	-1.22025,	-18.5933,	-0.0130206,	-0.61205
0.001275,	23.597,	7.44138,	0.118524,	-0.00105783,	4.12341,	-0.576483,	-13.5557,	-0.556319,	-12.8022,	-0.0201632,	-0.753485
0.0013,	23.597,	7.44138,	0.118524,	-0.00105783,	4.12341,	-0.576483,	-13.5557,	-0.556319,	-12.8022,	-0.0201632,	-0.753485
0.001325,	9.4637,	7.24974,	0.119351,	0.000521701,	4.28214,	0.216326,	-5.57712,	0.242525,	-4.68487,	-0.0261983,	-0.892246
0.00135,	9.4637,	7.24974,	0.119351,	0.000521701,	4.28214,	0.216326,	-5.57712,	0.242525,	-4.68487,	-0.0261983,	-0.892246
0.001375,	71.8086,	7.20971,	0.121382,	0.00194939,	3.50746,	1.0373,	2.99835,	1.06685,	4.00926,	-0.0295486,	-1.01092
0.0014,	71.8086,	7.20971,	0.121382,	0.00194939,	3.50746,	1.0373,	2.99835,	1.06685,	4.00926,	-0.0295486,	-1.01092
0.001425,	169.25,	7.61919,	0.127409,	0.00312283,	1.96824,	1.70664,	10.3133,	1.73573,	11.4095,	-0.0290879,	-1.09622
0.00145,	169.25,	7.61919,	0.127409,	0.00312283,	1.96824,	1.70664,	10.3133,	1.73573,	11.4095,	-0.0290879,	-1.09622
0.001475,	222.064,	8.44916,	0.137192,	0.00388782,	2.67777e-05,	2.01691,	14.7891,	2.04144,	15.9309,	-0.0245239,	-1.14184
0.0015,	222.064,	8.44916,	0.137192,	0.00388782,	2.67777e-05,	2.01691,	14.7891,	2.04144,	15.9309,	-0.0245239,	-1.14184
0.001525,	186.143,	9.29364,	0.147397,	0.00381009,	-1.96871,	1.88849,	15.4684,	1.90498,	16.6182,	-0.0164871,	-1.1498
0.00155,	186.143,	9.29364,	0.147397,	0.00381009,	-1.96871,	1.88849,	15.4684,	1.90498,	16.6182,	-0.0164871,	-1.1498
0.001575,	95.2866,	9.72813,	0.154433,	0.00263084,	-3.5081,	1.41418,	12.1954,	1.42044,	13.3255,	-0.00625984,	-1.13004
0.0016,	95.2866,	9.72813,	0.154433,	0.00263084,	-3.5081,	1.41418,	12.1954,	1.42044,	13.3255,	-0.00625984,	-1.13004
0.001625,	19.1803,	9.69418,	0.157294,	0.000697711,	-4.28267,	0.732037,	5.67418,	0.727474,	6.77241,	0.00456285,	-1.09824
0.00165,	19.1803,	9.69418,	0.157294,	0.000697711,	-4.28267,	0.732037,	5.67418,	0.727474,	6.77241,	0.00456285,	-1.09824
0.001675,	9.5921,	9.47099,	0.158014,	-0.00134642,	-4.12367,	-0.0599032,	-2.65179,	-0.074206,	-1.57942,	0.0143028,	-1.07238
0.0017,	9.5921,	9.47099,	0.158014,	-0.00134642,	-4.12367,	-0.0599032,	-2.65179,	-0.074206,	-1.57942,	0.0143028,	-1.07238
0.001725,	71.7131,	9.43951,	0.160046,	-0.00307061,	-3.06583,	-0.841151,	-10.9501,	-0.862604,	-9.88133,	0.0214533,	-1.0688
0.00175,	71.7131,	9.43951,	0.160046,	-0.00307061,	-3.06583,	-0.841151,	-10.9501,	-0.862604,	-9.88133,	0.0214533,	-1.0688
0.001775,	151.63,	9.84096,	0.16563,	-0.00430549,	-1.33979,	-1.40892,	-17.3984,	-1.434,	-16.2998,	0.0250777,	-1.0986
0.0018,	151.63,	9.84096,	0.16563,	-0.00430549,	-1.33979,	-1.40892,	-17.3984,	-1.434,	-16.2998,	0.0250777,	-1.0986
0.001825,	174.685,	10.5506,	0.173788,	-0.00479364,	0.678218,	-1.57306,	-20.5843,	-1.5982,	-19.419,	0.0251466,	-1.16525
0.00185,	174.685,	10.5506,	0.173788,	-0.00479364,	0.678218,	-1.57306,	-20.5843,	-1.5982,	-19.419,	0.0251466,	-1.16525
0.001875,	121.944,	11.1412,	0.181203,	-0.00414623,	2.54831,	-1.30796,	-19.7974,	-1.33047,	-18.5336,	0.0225095,	-1.26377
0.0019,	121.944,	11.1412,	0.181203,	-0.00414623,	2.54831,	-1.30796,	-19.7974,	-1.33047,	-18.5336,	0.0225095,	-1.26377
0.001925,	44.7371,	11.313,	0.18537,	-0.00236256,	3.86288,	-0.739517,	-15.1729,	-0.758079,	-13.7911,	0.0185611,	-1.3818
0.00195,	44.7371,	11.313,	0.18537,	-0.00236256,	3.86288,	-0.739517,	-15.1729,	-0.758079,	-13.7911,	0.0185611,	-1.3818
0.001975,	8.40818,	11.1611,	0.186699,	-3.41591e-08,	4.33675,	-0.00110781,	-7.71431,	-0.0160281,	-6.21205,	0.0149203,	-1.50226
0.002,	8.40818,	11.1611,	0.186699,	-3.41591e-08,	4.33675,	-0.00110781,	-7.71431,	-0.0160281,	-6.21205,	0.0149203,	-1.50226
0.002025,	46.5831,	11.0317,	0.188074,	0.00230438,	3.86385,	0.807745,	0.967931,	0.79454,	2.57505,	0.0132054,	-1.60712
0.00205,	46.5831,	11.0317,	0.188074,	0.00230438,	3.86385,	0.807745,	0.967931,	0.79454,	2.57505,	0.0132054,	-1.60712
0.002075,	138.64,	11.2699,	0.192704,	0.0041949,	2.5488,	1.5348,	8.9863,	1.52007,	10.6676,	0.0147231,	-1.6813
0.0021,	138.64,	11.2699,	0.192704,	0.0041949,	2.5488,	1.5348,	8.9863,	1.52007,	10.6676,	0.0147231,	-1.6813
0.002125,	212.45,	11.9747,	0.201482,	0.00544138,	0.678323,	1.96847,	14.6082,	1.9484,	16.3242,	0.0200642,	-1.71597
0.00215,	212.45,	11.9747,	0.201482,	0.00544138,	0.678323,	1.96847,	14.6082,	1.9484,	16.3242,	0.0200642,	-1.71597
0.002175,	204.896,	12.8478,	0.211915,	0.00562138,	-1.33985,	1.9726,	16.6166,	1.94371,	18.327,	0.0288898,	-1.71045
