time,	T,	w,	th
0.165,	0,	0,	0
0.166,	0,	0,	0
0.167,	0,	0,	0
0.168,	0,	0,	0
0.169,	0,	0,	0
0.17,	0,	0,	0
0.171,	0,	0,	0
0.172,	0,	0,	0
0.173,	0,	0,	0
0.174,	0,	0,	0
0.175,	0,	0,	0
0.176,	0,	0,	0
0.177,	0,	0,	0
0.178,	0,	0,	0
0.179,	0,	0,	0
0.18,	0,	0,	0
0.181,	0,	0,	0
0.182,	0,	0,	0
0.183,	0,	0,	0
0.184,	0,	0,	0
0.185,	0,	0,	0
0.186,	0,	0,	0
0.187,	0,	0,	0
0.188,	0,	0,	0
0.189,	0,	0,	0
0.19,	0,	0,	0
0.191,	0,	0,	0
0.192,	0,	0,	0
0.193,	0,	0,	0
0.194,	0,	0,	0
0.195,	0,	0,	0
0.196,	0,	0,	0
0.197,	0,	0,	0
0.198,	0,	0,	0
0.199,	0,	0,	0
0.2,	0,	0,	0
0.201,	0,	0,	0
0.202,	0,	0,	0
0.203,	0,	0,	0
0.204,	0,	0,	0
0.205,	0,	0,	0
0.206,	0,	0,	0
0.207,	0,	0,	0
0.208,	0,	0,	0
0.209,	0,	0,	0
0.21,	0,	0,	0
0.211,	0,	0,	0
0.212,	0,	0,	0
0.213,	0,	0,	0
0.214,	0,	0,	0
0.215,	0,	0,	0
0.216,	0,	0,	0
0.217,	0,	0,	0
0.218,	0,	0,	0
0.219,	0,	0,	0
0.22,	0,	0,	0
0.221,	0,	0,	0
0.222,	0,	0,	0
0.223,	0,	0,	0
0.224,	0,	0,	0
0.225,	0,	0,	0
0.226,	0,	0,	0
0.227,	0,	0,	0
0.228,	0,	0,	0
0.229,	0,	0,	0
0.23,	0,	0,	0
0.231,	0,	0,	0
0.232,	0,	0,	0
0.233,	0,	0,	0
0.234,	0,	0,	0
0.235,	0,	0,	0
0.236,	0,	0,	0
0.237,	0,	0,	0
0.238,	0,	0,	0
0.239,	0,	0,	0
0.24,	0,	0,	0
0.241,	0,	0,	0
0.242,	0,	0,	0
0.243,	0,	0,	0
0.244,	0,	0,	0
0.245,	0,	0,	0
0.246,	0,	0,	0
0.247,	0,	0,	0
0.248,	0,	0,	0
0.249,	0,	0,	0
0.25,	0,	0,	0
0.251,	0,	0,	0
0.252,	0,	0,	0
0.253,	0,	0,	0
0.254,	0,	0,	0
0.255,	0,	0,	0
0.256,	0,	0,	0
0.257,	0,	0,	0
0.258,	0,	0,	0
0.259,	0,	0,	0
0.26,	0,	0,	0
0.261,	0,	0,	0
0.262,	0,	0,	0
0.263,	0,	0,	0
0.264,	0,	0,	0
0.265,	0,	0,	0
0.266,	0,	0,	0
0.267,	0,	0,	0
0.268,	0,	0,	0
0.269,	0,	0,	0
0.27,	0,	0,	0
0.271,	0,	0,	0
0.272,	0,	0,	0
0.273,	0,	0,	0
0.274,	0,	0,	0
0.275,	0,	0,	0
0.276,	0,	0,	0
0.277,	0,	0,	0
0.278,	0,	0,	0
0.279,	0,	0,	0
0.28,	0,	0,	0
0.281,	0,	0,	0
0.282,	0,	0,	0
0.283,	0,	0,	0
0.284,	0,	0,	0
0.285,	0,	0,	0
0.286,	0,	0,	0
0.287,	0,	0,	0
0.288,	0,	0,	0
0.289,	0,	0,	0
0.29,	0,	0,	0
0.291,	0,	0,	0
0.292,	0,	0,	0
0.293,	0,	0,	0
0.294,	0,	0,	0
0.295,	0,	0,	0
0.296,	0,	0,	0
0.297,	0,	0,	0
0.298,	0,	0,	0
0.299,	0,	0,	0
0.3,	0,	0,	0
0.301,	0,	0,	0
0.302,	0,	0,	0
0.303,	0,	0,	0
0.304,	0,	0,	0
0.305,	0,	0,	0
0.306,	0,	0,	0
0.307,	0,	0,	0
0.308,	0,	0,	0
0.309,	0,	0,	0
0.31,	0,	0,	0
0.311,	0,	0,	0
0.312,	0,	0,	0
0.313,	0,	0,	0
0.314,	0,	0,	0
0.315,	0,	0,	0
0.316,	0,	0,	0
0.317,	0,	0,	0
0.318,	0,	0,	0
0.319,	0,	0,	0
0.32,	0,	0,	0
0.321,	0,	0,	0
0.322,	0,	0,	0
0.323,	0,	0,	0
0.324,	0,	0,	0
0.325,	0,	0,	0
0.326,	0,	0,	0
0.327,	0,	0,	0
0.328,	0,	0,	0
0.329,	0,	0,	0
0.33,	0,	0,	0
0.331,	0,	0,	0
0.332,	0,	0,	0
0.333,	0,	0,	0
0.334,	0,	0,	0
0.335,	0,	0,	0
0.336,	0,	0,	0
0.337,	0,	0,	0
0.338,	0,	0,	0
0.339,	0,	0,	0
0.34,	0,	0,	0
0.341,	0,	0,	0
0.342,	0,	0,	0
0.343,	0,	0,	0
0.344,	0,	0,	0
0.345,	0,	0,	0
0.346,	0,	0,	0
0.347,	0,	0,	0
0.348,	0,	0,	0
0.349,	0,	0,	0
0.35,	0,	0,	0
0.351,	0,	0,	0
0.352,	0,	0,	0
0.353,	0,	0,	0
0.354,	0,	0,	0
0.355,	0,	0,	0
0.356,	0,	0,	0
0.357,	0,	0,	0
0.358,	0,	0,	0
0.359,	0,	0,	0
0.36,	0,	0,	0
0.361,	0,	0,	0
0.362,	0,	0,	0
0.363,	0,	0,	0
0.364,	0,	0,	0
0.365,	0,	0,	0
0.366,	0,	0,	0
0.367,	0,	0,	0
0.368,	0,	0,	0
0.369,	0,	0,	0
0.37,	0,	0,	0
0.371,	0,	0,	0
0.372,	0,	0,	0
0.373,	0,	0,	0
0.374,	0,	0,	0
0.375,	0,	0,	0
0.376,	0,	0,	0
0.377,	0,	0,	0
0.378,	0,	0,	0
0.379,	0,	0,	0
0.38,	0,	0,	0
0.381,	0,	0,	0
0.382,	0,	0,	0
0.383,	0,	0,	0
0.384,	0,	0,	0
0.385,	0,	0,	0
0.386,	0,	0,	0
0.387,	0,	0,	0
0.388,	0,	0,	0
0.389,	0,	0,	0
0.39,	0,	0,	0
0.391,	0,	0,	0
0.392,	0,	0,	0
0.393,	0,	0,	0
0.394,	0,	0,	0
0.395,	0,	0,	0
0.396,	0,	0,	0
0.397,	0,	0,	0
0.398,	0,	0,	0
0.399,	0,	0,	0
0.4,	0,	0,	0
0.401,	0,	0,	0
0.402,	0,	0,	0
0.403,	0,	0,	0
0.404,	0,	0,	0
0.405,	0,	0,	0
0.406,	0,	0,	0
0.407,	0,	0,	0
0.408,	0,	0,	0
0.409,	0,	0,	0
0.41,	0,	0,	0
0.411,	0,	0,	0
0.412,	0,	0,	0
0.413,	0,	0,	0
0.414,	0,	0,	0
0.415,	0,	0,	0
0.416,	0,	0,	0
0.417,	0,	0,	0
0.418,	0,	0,	0
0.419,	0,	0,	0
0.42,	0,	0,	0
0.421,	0,	0,	0
0.422,	0,	0,	0
0.423,	0,	0,	0
0.424,	0,	0,	0
0.425,	0,	0,	0
0.426,	0,	0,	0
0.427,	0,	0,	0
0.428,	0,	0,	0
0.429,	0,	0,	0
0.43,	0,	0,	0
0.431,	0,	0,	0
0.432,	0,	0,	0
0.433,	0,	0,	0
0.434,	0,	0,	0
0.435,	0,	0,	0
0.436,	0,	0,	0
0.437,	0,	0,	0
0.438,	0,	0,	0
0.439,	0,	0,	0
0.44,	0,	0,	0
0.441,	0,	0,	0
0.442,	0,	0,	0
0.443,	0,	0,	0
0.444,	0,	0,	0
0.445,	0,	0,	0
0.446,	0,	0,	0
0.447,	0,	0,	0
0.448,	0,	0,	0
0.449,	0,	0,	0
0.45,	0,	0,	0
0.451,	0,	0,	0
0.452,	0,	0,	0
0.453,	0,	0,	0
0.454,	0,	0,	0
0.455,	0,	0,	0
0.456,	0,	0,	0
0.457,	0,	0,	0
0.458,	0,	0,	0
0.459,	0,	0,	0
0.46,	0,	0,	0
0.461,	0,	0,	0
0.462,	0,	0,	0
0.463,	0,	0,	0
0.464,	0,	0,	0
0.465,	0,	0,	0
0.466,	0,	0,	0
0.467,	0,	0,	0
0.468,	0,	0,	0
0.469,	0,	0,	0
0.47,	0,	0,	0
0.471,	0,	0,	0
0.472,	0,	0,	0
0.473,	0,	0,	0
0.474,	0,	0,	0
0.475,	0,	0,	0
0.476,	0,	0,	0
0.477,	0,	0,	0
0.478,	0,	0,	0
0.479,	0,	0,	0
0.48,	0,	0,	0
0.481,	0,	0,	0
0.482,	0,	0,	0
0.483,	0,	0,	0
0.484,	0,	0,	0
0.485,	0,	0,	0
0.486,	0,	0,	0
0.487,	0,	0,	0
0.488,	0,	0,	0
0.489,	0,	0,	0
0.49,	0,	0,	0
0.491,	0,	0,	0
0.492,	0,	0,	0
0.493,	0,	0,	0
0.494,	0,	0,	0
0.495,	0,	0,	0
0.496,	0,	0,	0
0.497,	0,	0,	0
0.498,	0,	0,	0
0.499,	0,	0,	0
0.5,	0.0666667,	-6.66667e-05,	-3.33333e-08
0.501,	0.133333,	-0.000266667,	-2e-07
0.502,	0.2,	-0.0006,	-6.33333e-07
0.503,	0.266667,	-0.00106667,	-1.46667e-06
0.504,	0.333333,	-0.00166667,	-2.83333e-06
0.505,	0.4,	-0.0024,	-4.86667e-06
0.506,	0.466667,	-0.00326667,	-7.7e-06
0.507,	0.533333,	-0.00426667,	-1.14667e-05
0.508,	0.6,	-0.0054,	-1.63e-05
0.509,	0.666667,	-0.00666667,	-2.23333e-05
0.51,	0.733333,	-0.00806667,	-2.97e-05
0.511,	0.8,	-0.0096,	-3.85333e-05
0.512,	0.866667,	-0.0112667,	-4.89667e-05
0.513,	0.933333,	-0.0130667,	-6.11333e-05
0.514,	1,	-0.015,	-7.51667e-05
0.515,	1.06667,	-0.0170667,	-9.12e-05
0.516,	1.13333,	-0.0192667,	-0.000109367
0.517,	1.2,	-0.0216,	-0.0001298
0.518,	1.26667,	-0.0240667,	-0.000152633
0.519,	1.33333,	-0.0266667,	-0.000178
0.52,	1.4,	-0.0294,	-0.000206033
0.521,	1.46667,	-0.0322667,	-0.000236867
0.522,	1.53333,	-0.0352667,	-0.000270633
0.523,	1.6,	-0.0384,	-0.000307467
0.524,	1.66667,	-0.0416667,	-0.0003475
0.525,	1.73333,	-0.0450667,	-0.000390867
0.526,	1.8,	-0.0486,	-0.0004377
0.527,	1.86667,	-0.0522667,	-0.000488133
0.528,	1.93333,	-0.0560667,	-0.0005423
0.529,	2,	-0.06,	-0.000600333
0.53,	2.06667,	-0.0640667,	-0.000662367
0.531,	2.13333,	-0.0682667,	-0.000728533
0.532,	2.2,	-0.0726,	-0.000798967
0.533,	2.26667,	-0.0770667,	-0.0008738
0.534,	2.33333,	-0.0816667,	-0.000953167
0.535,	2.4,	-0.0864,	-0.0010372
0.536,	2.46667,	-0.0912667,	-0.00112603
0.537,	2.53333,	-0.0962667,	-0.0012198
0.538,	2.6,	-0.1014,	-0.00131863
0.539,	2.66667,	-0.106667,	-0.00142267
0.54,	2.73333,	-0.112067,	-0.00153203
0.541,	2.8,	-0.1176,	-0.00164687
0.542,	2.86667,	-0.123267,	-0.0017673
0.543,	2.93333,	-0.129067,	-0.00189347
0.544,	3,	-0.135,	-0.0020255
0.545,	3.06667,	-0.141067,	-0.00216353
0.546,	3.13333,	-0.147267,	-0.0023077
0.547,	3.2,	-0.1536,	-0.00245813
0.548,	3.26667,	-0.160067,	-0.00261497
0.549,	3.33333,	-0.166667,	-0.00277833
0.55,	3.4,	-0.1734,	-0.00294837
0.551,	3.46667,	-0.180267,	-0.0031252
0.552,	3.53333,	-0.187267,	-0.00330897
0.553,	3.6,	-0.1944,	-0.0034998
0.554,	3.66667,	-0.201667,	-0.00369783
0.555,	3.73333,	-0.209067,	-0.0039032
0.556,	3.8,	-0.2166,	-0.00411603
0.557,	3.86667,	-0.224267,	-0.00433647
0.558,	3.93333,	-0.232067,	-0.00456463
0.559,	4,	-0.24,	-0.00480067
0.56,	4.06667,	-0.248067,	-0.0050447
0.561,	4.13333,	-0.256267,	-0.00529687
0.562,	4.2,	-0.2646,	-0.0055573
0.563,	4.26667,	-0.273067,	-0.00582613
0.564,	4.33333,	-0.281667,	-0.0061035
0.565,	4.4,	-0.2904,	-0.00638953
0.566,	4.46667,	-0.299267,	-0.00668437
0.567,	4.53333,	-0.308267,	-0.00698813
0.568,	4.6,	-0.3174,	-0.00730097
0.569,	4.66667,	-0.326667,	-0.007623
0.57,	4.73333,	-0.336067,	-0.00795437
0.571,	4.8,	-0.3456,	-0.0082952
0.572,	4.86667,	-0.355267,	-0.00864563
0.573,	4.93333,	-0.365067,	-0.0090058
0.574,	5,	-0.375,	-0.00937583
0.575,	5.06667,	-0.385067,	-0.00975587
0.576,	5.13333,	-0.395267,	-0.010146
0.577,	5.2,	-0.4056,	-0.0105465
0.578,	5.26667,	-0.416067,	-0.0109573
0.579,	5.33333,	-0.426667,	-0.0113787
0.58,	5.4,	-0.4374,	-0.0118107
0.581,	5.46667,	-0.448267,	-0.0122535
0.582,	5.53333,	-0.459267,	-0.0127073
0.583,	5.6,	-0.4704,	-0.0131721
0.584,	5.66667,	-0.481667,	-0.0136482
0.585,	5.73333,	-0.493067,	-0.0141355
0.586,	5.8,	-0.5046,	-0.0146344
0.587,	5.86667,	-0.516267,	-0.0151448
0.588,	5.93333,	-0.528067,	-0.015667
0.589,	6,	-0.54,	-0.016201
0.59,	6.06667,	-0.552067,	-0.016747
0.591,	6.13333,	-0.564267,	-0.0173052
0.592,	6.2,	-0.5766,	-0.0178756
0.593,	6.26667,	-0.589067,	-0.0184585
0.594,	6.33333,	-0.601667,	-0.0190538
0.595,	6.4,	-0.6144,	-0.0196619
0.596,	6.46667,	-0.627267,	-0.0202827
0.597,	6.53333,	-0.640267,	-0.0209165
0.598,	6.6,	-0.6534,	-0.0215633
0.599,	6.66666,	-0.666667,	-0.0222233
0.6,	6.73333,	-0.680067,	-0.0228967
0.601,	6.8,	-0.6936,	-0.0235835
0.602,	6.86666,	-0.707267,	-0.024284
0.603,	6.93333,	-0.721067,	-0.0249981
0.604,	7,	-0.735,	-0.0257262
0.605,	7.06666,	-0.749067,	-0.0264682
0.606,	7.13333,	-0.763267,	-0.0272244
0.607,	7.2,	-0.7776,	-0.0279948
0.608,	7.26666,	-0.792067,	-0.0287796
0.609,	7.33333,	-0.806667,	-0.029579
0.61,	7.39999,	-0.8214,	-0.030393
0.611,	7.46666,	-0.836267,	-0.0312219
0.612,	7.53333,	-0.851267,	-0.0320656
0.613,	7.59999,	-0.8664,	-0.0329245
0.614,	7.66666,	-0.881667,	-0.0337985
0.615,	7.73333,	-0.897067,	-0.0346879
0.616,	7.79999,	-0.9126,	-0.0355927
0.617,	7.86666,	-0.928267,	-0.0365131
0.618,	7.93332,	-0.944067,	-0.0374493
0.619,	7.99999,	-0.96,	-0.0384013
0.62,	8.06666,	-0.976067,	-0.0393694
0.621,	8.13332,	-0.992267,	-0.0403535
0.622,	8.19999,	-1.0086,	-0.041354
0.623,	8.26666,	-1.02507,	-0.0423708
0.624,	8.33332,	-1.04167,	-0.0434042
0.625,	8.39999,	-1.0584,	-0.0444542
0.626,	8.46665,	-1.07527,	-0.045521
0.627,	8.53332,	-1.09227,	-0.0466048
0.628,	8.59999,	-1.1094,	-0.0477056
0.629,	8.66665,	-1.12667,	-0.0488237
0.63,	8.73332,	-1.14407,	-0.049959
0.631,	8.79999,	-1.1616,	-0.0511119
0.632,	8.86665,	-1.17927,	-0.0522823
0.633,	8.93332,	-1.19707,	-0.0534705
0.634,	8.99999,	-1.215,	-0.0546765
0.635,	9.06665,	-1.23307,	-0.0559005
0.636,	9.13332,	-1.25127,	-0.0571427
0.637,	9.19998,	-1.2696,	-0.0584031
0.638,	9.26665,	-1.28807,	-0.059682
0.639,	9.33332,	-1.30667,	-0.0609793
0.64,	9.39998,	-1.3254,	-0.0622954
0.641,	9.46665,	-1.34427,	-0.0636302
0.642,	9.53332,	-1.36327,	-0.0649839
0.643,	9.59998,	-1.3824,	-0.0663568
0.644,	9.66665,	-1.40167,	-0.0677488
0.645,	9.73331,	-1.42107,	-0.0691602
0.646,	9.79998,	-1.4406,	-0.070591
0.647,	9.86665,	-1.46027,	-0.0720414
0.648,	9.93331,	-1.48007,	-0.0735116
0.649,	9.99998,	-1.5,	-0.0750016
0.65,	10.0666,	-1.52007,	-0.0765117
0.651,	10.1333,	-1.54027,	-0.0780418
0.652,	10.2,	-1.5606,	-0.0795923
0.653,	10.2666,	-1.58107,	-0.0811631
0.654,	10.3333,	-1.60167,	-0.0827545
0.655,	10.4,	-1.6224,	-0.0843665
0.656,	10.4666,	-1.64327,	-0.0859993
0.657,	10.5333,	-1.66427,	-0.0876531
0.658,	10.6,	-1.6854,	-0.0893279
0.659,	10.6666,	-1.70667,	-0.091024
0.66,	10.7333,	-1.72807,	-0.0927413
0.661,	10.8,	-1.7496,	-0.0944802
0.662,	10.8666,	-1.77127,	-0.0962406
0.663,	10.9333,	-1.79307,	-0.0980228
0.664,	11,	-1.815,	-0.0998268
0.665,	11.0666,	-1.83706,	-0.101653
0.666,	11.1333,	-1.85926,	-0.103501
0.667,	11.2,	-1.8816,	-0.105371
0.668,	11.2666,	-1.90406,	-0.107264
0.669,	11.3333,	-1.92666,	-0.10918
0.67,	11.4,	-1.9494,	-0.111118
0.671,	11.4666,	-1.97226,	-0.113078
0.672,	11.5333,	-1.99526,	-0.115062
0.673,	11.6,	-2.0184,	-0.117069
0.674,	11.6666,	-2.04166,	-0.119099
0.675,	11.7333,	-2.06506,	-0.121152
0.676,	11.8,	-2.0886,	-0.123229
0.677,	11.8666,	-2.11226,	-0.12533
0.678,	11.9333,	-2.13606,	-0.127454
0.679,	12,	-2.16,	-0.129602
0.68,	12.0666,	-2.18406,	-0.131774
0.681,	12.1333,	-2.20826,	-0.13397
0.682,	12.2,	-2.2326,	-0.136191
0.683,	12.2666,	-2.25706,	-0.138435
0.684,	12.3333,	-2.28166,	-0.140705
0.685,	12.4,	-2.3064,	-0.142999
0.686,	12.4666,	-2.33126,	-0.145318
0.687,	12.5333,	-2.35626,	-0.147661
0.688,	12.6,	-2.3814,	-0.15003
0.689,	12.6666,	-2.40666,	-0.152424
0.69,	12.7333,	-2.43206,	-0.154844
0.691,	12.8,	-2.4576,	-0.157288
0.692,	12.8666,	-2.48326,	-0.159759
0.693,	12.9333,	-2.50906,	-0.162255
0.694,	13,	-2.535,	-0.164777
0.695,	13.0666,	-2.56106,	-0.167325
0.696,	13.1333,	-2.58726,	-0.169899
0.697,	13.2,	-2.6136,	-0.1725
0.698,	13.2666,	-2.64006,	-0.175127
0.699,	13.3333,	-2.66666,	-0.17778
0.7,	13.4,	-2.6934,	-0.18046
0.701,	13.4666,	-2.72026,	-0.183167
0.702,	13.5333,	-2.74726,	-0.185901
0.703,	13.6,	-2.7744,	-0.188661
0.704,	13.6666,	-2.80166,	-0.191449
0.705,	13.7333,	-2.82906,	-0.194265
0.706,	13.8,	-2.8566,	-0.197108
0.707,	13.8666,	-2.88426,	-0.199978
0.708,	13.9333,	-2.91206,	-0.202876
0.709,	14,	-2.94,	-0.205802
0.71,	14.0666,	-2.96806,	-0.208756
0.711,	14.1333,	-2.99626,	-0.211738
0.712,	14.2,	-3.0246,	-0.214749
0.713,	14.2666,	-3.05306,	-0.217788
0.714,	14.3333,	-3.08166,	-0.220855
0.715,	14.4,	-3.1104,	-0.223951
0.716,	14.4666,	-3.13926,	-0.227076
0.717,	14.5333,	-3.16826,	-0.23023
0.718,	14.6,	-3.19739,	-0.233412
0.719,	14.6666,	-3.22666,	-0.236624
0.72,	14.7333,	-3.25606,	-0.239866
0.721,	14.8,	-3.28559,	-0.243137
0.722,	14.8666,	-3.31526,	-0.246437
0.723,	14.9333,	-3.34506,	-0.249767
0.724,	15,	-3.37499,	-0.253127
0.725,	15.0666,	-3.40506,	-0.256517
0.726,	15.1333,	-3.43526,	-0.259937
0.727,	15.2,	-3.46559,	-0.263388
0.728,	15.2666,	-3.49606,	-0.266869
0.729,	15.3333,	-3.52666,	-0.27038
0.73,	15.4,	-3.55739,	-0.273922
0.731,	15.4666,	-3.58826,	-0.277495
0.732,	15.5333,	-3.61926,	-0.281099
0.733,	15.5999,	-3.65039,	-0.284734
0.734,	15.6666,	-3.68166,	-0.2884
0.735,	15.7333,	-3.71306,	-0.292097
0.736,	15.7999,	-3.74459,	-0.295826
0.737,	15.8666,	-3.77626,	-0.299586
0.738,	15.9333,	-3.80806,	-0.303378
0.739,	15.9999,	-3.83999,	-0.307202
0.74,	16.0666,	-3.87206,	-0.311058
0.741,	16.1333,	-3.90426,	-0.314947
0.742,	16.1999,	-3.93659,	-0.318867
0.743,	16.2666,	-3.96906,	-0.32282
0.744,	16.3333,	-4.00166,	-0.326805
0.745,	16.3999,	-4.03439,	-0.330823
0.746,	16.4666,	-4.06726,	-0.334874
0.747,	16.5333,	-4.10026,	-0.338958
0.748,	16.5999,	-4.13339,	-0.343075
0.749,	16.6666,	-4.16666,	-0.347225
0.75,	16.7333,	-4.20006,	-0.351408
0.751,	16.7999,	-4.23359,	-0.355625
0.752,	16.8666,	-4.26726,	-0.359875
0.753,	16.9333,	-4.30106,	-0.364159
0.754,	16.9999,	-4.33499,	-0.368477
0.755,	17.0666,	-4.36906,	-0.372829
0.756,	17.1333,	-4.40326,	-0.377216
0.757,	17.1999,	-4.43759,	-0.381636
0.758,	17.2666,	-4.47206,	-0.386091
0.759,	17.3333,	-4.50666,	-0.39058
0.76,	17.3999,	-4.54139,	-0.395104
0.761,	17.4666,	-4.57626,	-0.399663
0.762,	17.5333,	-4.61126,	-0.404257
0.763,	17.5999,	-4.64639,	-0.408886
0.764,	17.6666,	-4.68166,	-0.41355
0.765,	17.7333,	-4.71706,	-0.418249
0.766,	17.7999,	-4.75259,	-0.422984
0.767,	17.8666,	-4.78826,	-0.427754
0.768,	17.9333,	-4.82406,	-0.43256
0.769,	17.9999,	-4.85999,	-0.437402
0.77,	18.0666,	-4.89606,	-0.442281
0.771,	18.1333,	-4.93226,	-0.447195
0.772,	18.1999,	-4.96859,	-0.452145
0.773,	18.2666,	-5.00506,	-0.457132
0.774,	18.3333,	-5.04166,	-0.462155
0.775,	18.3999,	-5.07839,	-0.467215
0.776,	18.4666,	-5.11525,	-0.472312
0.777,	18.5333,	-5.15225,	-0.477446
0.778,	18.5999,	-5.18939,	-0.482617
0.779,	18.6666,	-5.22665,	-0.487825
0.78,	18.7333,	-5.26405,	-0.49307
0.781,	18.7999,	-5.30159,	-0.498353
0.782,	18.8666,	-5.33925,	-0.503673
0.783,	18.9333,	-5.37705,	-0.509031
0.784,	18.9999,	-5.41499,	-0.514427
0.785,	19.0666,	-5.45305,	-0.519862
0.786,	19.1333,	-5.49125,	-0.525334
0.787,	19.1999,	-5.52959,	-0.530844
0.788,	19.2666,	-5.56805,	-0.536393
0.789,	19.3333,	-5.60665,	-0.54198
0.79,	19.3999,	-5.64539,	-0.547606
0.791,	19.4666,	-5.68425,	-0.553271
0.792,	19.5333,	-5.72325,	-0.558975
0.793,	19.5999,	-5.76239,	-0.564718
0.794,	19.6666,	-5.80165,	-0.5705
0.795,	19.7333,	-5.84105,	-0.576321
0.796,	19.7999,	-5.88059,	-0.582182
0.797,	19.8666,	-5.92025,	-0.588082
0.798,	19.9333,	-5.96005,	-0.594022
0.799,	19.9999,	-5.99998,	-0.600002
0.8,	20.0666,	-6.04005,	-0.606022
0.801,	20.1333,	-6.08025,	-0.612083
0.802,	20.1999,	-6.12058,	-0.618183
0.803,	20.2666,	-6.16105,	-0.624324
0.804,	20.3333,	-6.20165,	-0.630505
0.805,	20.3999,	-6.24238,	-0.636727
0.806,	20.4666,	-6.28325,	-0.64299
