ALL,params.motor.P,8
ALL,params.motor.lq,0.0006
ALL,params.motor.ld,0.0006
ALL,params.motor.lam,0.006
ALL,params.motor.r,0.4
ALL,params.motor.T_max,0.39
ALL,params.motor.i_peak,10.8
ALL,params.motor.i_cont,3.5
ALL,params.motor.id_max,1.75
ALL,params.motor.v_nom,24
ALL,params.motor.w_nom.elec,267
ALL,params.motor.w_max.elec,400
SFO,params.motor.mtpv_margin,90
ALL,params.motor.zeta,1.01
ALL,params.motor.i2t.therm_tau,2
ALL,params.motor.i2t.on_level,100
ALL,params.motor.i2t.off_level,95
SFO,params.motor.mtpa_lut.x_min,0
SFO,params.motor.mtpa_lut.x_max,0.39
SFO,params.motor.mtpa_lut.x_step,0.00307
SFO,params.motor.mtpa_lut.x_step_inv,326
SFO,params.motor.mtpa_lut.y[0],0.006
SFO,params.motor.mtpv_lut.x_min,0
SFO,params.motor.mtpv_lut.x_max,0.00885
SFO,params.motor.mtpv_lut.x_step,6.97e-05
SFO,params.motor.mtpv_lut.x_step_inv,1.44e+04
SFO,params.motor.mtpv_lut.y[0],0
SFO_RFO,params.profiler.overwrite,0
SFO_RFO,params.profiler.cmd_thresh,5
SFO_RFO,params.profiler.cmd_hyst,2.5
SFO_RFO,params.profiler.i_cmd_dc,1.75
SFO_RFO,params.profiler.i_cmd_ac,1.4
SFO_RFO,params.profiler.w_cmd_elec.min,107
SFO_RFO,params.profiler.w_cmd_elec.max,200
SFO_RFO,params.profiler.time_rot_lock,1
SFO_RFO,params.profiler.time_flux,1
SFO_RFO,params.profiler.w_h[0],4.62e+03
SFO_RFO,params.profiler.w_sep,60
SFO_RFO,params.profiler.w0_idc,30
SFO_RFO,params.profiler.kp_idc,0.1
SFO_RFO,params.profiler.ki_idc,37.7
SFO_RFO,params.profiler.time_res,0.212
SFO_RFO,params.profiler.time_ind,0.212
SFO_RFO,params.profiler.w0_flux,1.59
ALL,params.sys.vdc_nom,24
ALL,params.sys.boot_time,0.25
SFO_RFO,params.sys.dyno_lock_time,0.1
ALL,,
ALL,params.sys.samp.fpwm_fs0_ratio,1
ALL,params.sys.samp.fs0,1.5e+04
ALL,params.sys.samp.fs0_fs1_ratio,15
ALL,params.sys.samp.ts0,6.67e-05
ALL,params.sys.samp.fpwm,1.5e+04
ALL,params.sys.samp.tpwm,6.67e-05
ALL,params.sys.samp.fs1,1e+03
ALL,params.sys.samp.ts1,0.001
ALL,,
ALL,params.sys.analog.offset_null_time,0.25
ALL,,
